City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,xiaoweizhai,26.1903,107.5125,2.78,98,100,2.48,CN,1738873914
137,koratla,18.8167,78.7167,22.91,46,2,1.26,IN,1738873916
138,kourou,5.1552,-52.6478,24.39,93,100,2.87,GF,1738873917
139,bredasdorp,-34.5322,20.0403,18.81,79,6,3.51,ZA,1738873920
140,hengshui,37.7322,115.7011,-11.81,19,0,7.74,CN,1738873921
141,aasiaat,68.7098,-52.8699,-30.35,100,99,2.28,GL,1738873923
142,hawaiian paradise park,19.5933,-154.9731,23.28,89,100,1.54,US,1738873924
143,kennett,36.2362,-90.0556,10.97,100,100,9.26,US,1738873925
144,keflavik,64.0049,-22.5624,0.24,80,75,14.4,IS,1738873926
145,olonkinbyen,70.9221,-8.7187,-0.43,86,91,27.21,SJ,1738873928
146,liptovsky hradok,49.0396,19.7234,-1.4,88,100,1.14,SK,1738873930
147,northam,51.0333,-4.2167,3.22,83,2,1.34,GB,1738873931
148,nicoya,10.1483,-85.452,32.45,44,36,5.9,CR,1738873933
149,piedras negras,28.7,-100.5167,27.32,61,0,2.57,MX,1738873935
150,tsiombe,-25.3,45.4833,24.77,92,71,3.49,MG,1738873937
151,tobelo,1.7284,128.0095,26.45,80,100,1.23,ID,1738873938
152,peniche,39.3558,-9.3811,12.47,89,100,3.31,PT,1738873939
153,peterhead,57.5058,-1.7981,6.06,86,6,8.33,GB,1738873942
154,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,54,40,2.0,RU,1738873944
155,lebu,-37.6167,-73.65,17.46,72,0,8.09,CL,1738873946
156,dudinka,69.4058,86.1778,-17.85,96,99,6.24,RU,1738873947
157,tianpeng,30.9866,103.9393,5.72,63,100,0.15,CN,1738873948
158,pont rouge,48.8833,-72.0825,-10.22,93,100,3.1,CA,1738873951
159,nantucket,41.2835,-70.0995,4.06,93,100,8.75,US,1738873687
160,quellon,-43.1167,-73.6167,14.37,58,31,2.67,CL,1738873954
161,vilyuchinsk,52.9306,158.4028,-3.85,85,100,1.54,RU,1738873955
162,playa del ingles,27.7567,-15.5787,19.11,73,0,2.36,ES,1738873956
163,lazaro cardenas,17.9583,-102.2,28.38,59,0,4.65,MX,1738873959
164,tazovsky,67.4667,78.7,-15.94,96,100,4.23,RU,1738873960
165,atafu village,-8.5421,-172.5159,27.9,79,99,8.46,TK,1738873962
166,luganville,-15.5333,167.1667,27.36,74,79,2.62,VU,1738873963
167,vernon,50.2581,-119.2691,-9.48,57,49,1.03,CA,1738873803
168,caluula,11.9661,50.7569,23.12,72,46,4.58,SO,1738873967
169,antigonish,45.6169,-61.9986,-2.9,69,100,2.24,CA,1738873968
170,chibougamau,49.9168,-74.3659,-12.21,79,100,3.09,CA,1738873971
171,guia lopes da laguna,-21.4578,-56.1142,30.57,53,49,4.53,BR,1738873972
172,rakops,-21.0167,24.3333,31.21,34,99,5.58,BW,1738873973
173,cabo san lucas,22.8909,-109.9124,25.17,53,0,4.12,MX,1738873795
174,kingston,17.997,-76.7936,28.53,70,40,4.63,JM,1738873977
175,hamilton,39.1834,-84.5333,10.11,74,28,3.13,US,1738873979
176,punta arenas,-53.15,-70.9167,11.06,54,20,13.38,CL,1738873980
177,yaren,-0.5472,166.916,26.86,75,85,6.37,NR,1738873981
178,santa marinella,42.0345,11.8536,11.4,86,2,1.79,IT,1738873983
179,papao,-17.75,-149.55,29.82,78,21,7.17,PF,1738873984
180,port elizabeth,-33.918,25.5701,21.29,85,100,1.79,ZA,1738873985
181,inhambane,-23.865,35.3833,25.99,70,64,5.67,MZ,1738873987
182,uwajima,33.2238,132.56,1.71,76,100,2.26,JP,1738873989
183,gubakha,58.8386,57.5532,-15.47,98,100,0.89,RU,1738873990
184,biloela,-24.4167,150.5,22.19,83,27,4.18,AU,1738873993
185,el salto,20.3333,-104.5,29.62,16,0,0.35,MX,1738873994
186,imbituba,-28.24,-48.6703,24.36,84,100,2.87,BR,1738873996
187,itoman,26.1247,127.6694,11.21,93,100,7.2,JP,1738873997
188,quelimane,-17.8786,36.8883,23.78,97,100,1.99,MZ,1738873998
189,vung tau,10.346,107.0843,22.5,82,100,4.98,VN,1738874001
190,garoua boulai,5.8833,14.55,22.91,23,73,2.23,CM,1738874003
191,port saint john's,-31.6229,29.5448,22.07,91,100,4.64,ZA,1738874005
192,nenjiang,49.1833,125.2167,-12.59,85,100,8.38,CN,1738873819
193,kristiansund,63.1115,7.732,10.36,37,0,4.12,NO,1738874008
194,isafjordur,66.0755,-23.124,-2.79,77,55,17.87,IS,1738874009
195,hithadhoo,-0.6,73.0833,27.24,71,82,3.44,MV,1738874012
196,abra pampa,-22.7205,-65.697,17.32,33,53,8.13,AR,1738874013
197,college,64.8569,-147.8028,-7.03,73,100,0.0,US,1738873779
198,mount gambier,-37.8333,140.7667,17.09,85,55,3.03,AU,1738873810
199,stanley,54.868,-1.6985,-0.26,93,20,0.0,GB,1738874022
200,margaret river,-33.95,115.0667,16.83,80,51,5.82,AU,1738874023
201,xichang,27.8964,102.2634,4.63,69,90,1.98,CN,1738874024
202,danilov,58.1908,40.1717,-4.36,93,86,1.49,RU,1738874026
203,pinhao,-25.6956,-51.6597,20.44,95,94,2.1,BR,1738874027
204,wynyard,-41.0,145.7167,18.99,87,100,0.45,AU,1738874028
205,usinsk,65.9939,57.5281,-10.49,95,99,8.65,RU,1738874031
206,porto novo,6.4965,2.6036,28.9,81,44,4.32,BJ,1738874032
207,broken hill,-31.95,141.4333,30.69,29,56,2.68,AU,1738874034
208,preston,53.7667,-2.7167,4.62,92,0,3.16,GB,1738874035
209,cole harbour,44.6724,-63.4751,-1.69,72,100,8.75,CA,1738874037
210,malango,-2.9627,119.9001,18.92,92,100,1.33,ID,1738874038
211,colonia,50.9333,6.95,3.87,86,75,2.06,DE,1738874039
212,sao lourenco do sul,-31.3653,-51.9783,27.78,57,0,9.86,BR,1738874041
213,enewetak,11.3474,162.3373,26.73,73,62,7.33,MH,1738874042
214,bogdanovich,56.7803,62.0494,-14.93,99,92,1.69,RU,1738874043
215,mahina,-17.5065,-149.489,29.87,70,5,3.09,PF,1738874044
216,lorengau,-2.0226,147.2712,27.97,79,100,4.5,PG,1738874045
217,horta,38.5333,-28.6333,17.8,95,75,8.05,PT,1738874047
218,kamphaeng phet,16.25,99.5,23.48,59,15,0.94,TH,1738874049
219,tangalle,6.024,80.7911,23.47,83,38,5.22,LK,1738874051
220,bikenibeu village,1.3673,173.1241,26.98,89,40,4.63,KI,1738874052
221,kutum,14.2,24.6667,16.09,21,3,4.62,SD,1738874053
222,laminusa,5.5549,120.9136,26.97,79,99,1.4,PH,1738874054
223,georgetown,5.4112,100.3354,27.96,65,20,1.03,MY,1738874056
224,walvis bay,-22.9575,14.5053,17.94,79,4,2.86,NA,1738874057
225,smithers,54.7804,-127.1743,-12.82,72,75,1.54,CA,1738874058
226,acarau,-2.8856,-40.12,26.96,79,41,6.54,BR,1738874059
227,nyurba,63.2842,118.3319,-36.7,95,17,3.13,RU,1738874062
228,tsetserleg,47.475,101.4542,-22.02,95,33,1.53,MN,1738874063
229,east london,-33.0153,27.9116,20.85,83,100,6.95,ZA,1738874064
230,qamdo,31.1667,97.2333,-3.99,64,0,2.47,CN,1738874065
231,pacific grove,36.6177,-121.9166,16.06,84,100,17.88,US,1738874067
232,burao,9.5221,45.5336,19.52,52,94,2.21,SO,1738874068
233,tatui,-23.3556,-47.8569,26.77,81,99,3.6,BR,1738874069
234,yass,-34.8333,148.9167,22.32,59,0,1.13,AU,1738874071
235,severo-yeniseyskiy,60.3725,93.0408,-25.22,100,100,0.89,RU,1738874072
236,tamuin,21.9833,-98.75,30.5,50,36,3.59,MX,1738874073
237,donskoy,53.9711,38.3363,-4.02,65,79,3.4,RU,1738874074
238,isangel,-19.55,169.2667,27.36,87,100,8.2,VU,1738874076
239,igarka,67.4667,86.5833,-16.51,97,95,4.14,RU,1738874077
240,caleta de carquin,-11.0925,-77.6267,24.87,73,48,2.86,PE,1738874078
241,preobrazheniye,42.9019,133.9064,-13.01,67,100,4.11,RU,1738874080
